1	0.99	86	PG
2	4.99	48	G
3	2.99	50	NC-17
4	2.99	117	G
5	2.99	130	G
6	2.99	169	PG
7	4.99	62	PG-13
8	4.99	54	R
9	2.99	114	PG-13
10	4.99	63	NC-17
11	0.99	126	G
12	0.99	136	PG
13	4.99	150	PG
14	0.99	94	NC-17
15	2.99	46	NC-17
16	2.99	180	NC-17
17	0.99	82	R
18	0.99	57	PG-13
19	0.99	113	PG
20	4.99	79	R
21	4.99	129	R
22	2.99	85	G
23	0.99	92	R
24	2.99	181	R
25	2.99	74	G
26	0.99	86	G
27	0.99	179	NC-17
28	4.99	91	PG-13
29	2.99	168	NC-17
30	2.99	82	R
31	4.99	92	NC-17
32	4.99	119	R
33	2.99	153	PG-13
34	0.99	62	NC-17
35	2.99	147	PG-13
36	0.99	127	PG-13
37	2.99	121	PG
38	0.99	68	NC-17
39	0.99	99	G
40	0.99	148	R
41	0.99	137	PG
42	2.99	170	NC-17
43	2.99	170	G
44	4.99	113	PG-13
45	4.99	83	PG-13
46	4.99	108	G
47	4.99	153	NC-17
48	4.99	118	PG-13
49	2.99	162	R
50	2.99	182	G
51	2.99	75	NC-17
52	0.99	173	G
53	2.99	87	NC-17
54	0.99	113	R
55	2.99	65	G
56	2.99	129	G
57	2.99	90	PG-13
58	2.99	122	G
59	2.99	160	R
60	4.99	89	R
61	4.99	175	G
62	2.99	106	NC-17
63	0.99	73	PG
64	0.99	151	PG-13
65	4.99	100	PG
66	0.99	53	NC-17
67	2.99	77	PG-13
68	4.99	122	NC-17
69	2.99	85	R
70	4.99	142	NC-17
71	4.99	100	PG-13
72	2.99	93	PG
73	2.99	150	PG-13
74	4.99	162	PG
75	4.99	163	G
76	0.99	103	NC-17
77	4.99	61	G
78	2.99	85	PG
79	0.99	114	PG-13
80	2.99	148	G
81	4.99	103	PG-13
82	0.99	71	G
83	2.99	50	G
84	4.99	102	PG
85	0.99	63	G
86	4.99	121	R
87	0.99	76	NC-17
88	4.99	179	PG
89	0.99	63	G
90	0.99	63	R
91	0.99	98	PG
92	4.99	72	NC-17
93	4.99	121	PG
94	2.99	176	PG-13
95	4.99	123	G
96	2.99	169	PG-13
97	0.99	56	G
98	4.99	73	PG-13
99	2.99	136	PG
100	4.99	161	R
101	0.99	73	R
102	4.99	60	R
103	4.99	133	PG
104	2.99	119	G
105	0.99	125	NC-17
106	2.99	61	G
107	2.99	63	G
108	0.99	67	PG-13
109	0.99	89	G
110	0.99	53	NC-17
111	0.99	52	NC-17
112	4.99	120	NC-17
113	4.99	75	NC-17
114	0.99	61	NC-17
115	2.99	167	R
116	2.99	70	R
117	4.99	135	NC-17
118	0.99	85	R
119	0.99	176	G
120	4.99	92	NC-17
121	2.99	151	PG
122	0.99	114	PG
123	4.99	85	G
124	4.99	163	PG-13
125	2.99	61	NC-17
126	4.99	179	G
127	4.99	112	G
128	0.99	183	G
129	2.99	179	R
130	0.99	110	PG-13
131	4.99	152	PG
132	0.99	114	PG
133	4.99	117	NC-17
134	4.99	51	PG
135	2.99	70	R
136	2.99	146	NC-17
137	2.99	66	PG
138	2.99	71	R
139	4.99	114	PG
140	0.99	87	G
141	4.99	185	PG-13
142	0.99	122	PG
143	0.99	142	PG
144	4.99	61	PG
145	4.99	124	G
146	2.99	107	G
147	0.99	101	NC-17
148	2.99	132	R
149	0.99	150	NC-17
150	2.99	101	PG
151	4.99	143	NC-17
152	2.99	90	PG-13
153	0.99	165	G
154	2.99	81	G
155	0.99	150	PG-13
156	4.99	164	G
157	0.99	143	PG-13
158	2.99	124	R
159	4.99	58	R
160	0.99	65	PG-13
161	4.99	70	NC-17
162	2.99	95	R
163	0.99	139	PG-13
164	0.99	55	PG
165	4.99	70	G
166	2.99	149	G
167	4.99	109	NC-17
168	0.99	67	R
169	2.99	76	NC-17
170	4.99	120	PG-13
171	4.99	59	R
172	4.99	112	NC-17
173	4.99	65	PG-13
174	4.99	180	NC-17
175	2.99	122	PG-13
176	0.99	87	PG-13
177	4.99	172	R
178	0.99	115	G
179	4.99	173	G
180	2.99	184	PG-13
181	2.99	166	PG-13
182	4.99	185	G
183	4.99	112	R
184	2.99	92	PG-13
185	2.99	146	PG
186	0.99	64	NC-17
